"row ID","First(compound_chembl_id)","First(standard_type)","First*(standard_value)","First(standard_units)","First(target_chembl_id)","First(organism)","First(pref_name)","a_acc","a_acid","a_aro","a_base","a_count","a_don","a_donacc","a_heavy","a_hyd","a_nB","a_nBr","a_nC","a_nCl","a_nF","a_nH","a_nI","a_nN","a_nO","a_nP","a_nS","b_1rotN","b_1rotR","b_ar","b_count","b_double","b_heavy","b_rotN","b_rotR","b_single","b_triple","chiral","chiral_u","FCharge","h_logD","h_logP","h_logS","h_mr","KierFlex","lip_acc","lip_don","lip_druglike","lip_violation","mutagenic","reactive","rings","TPSA","vdw_area","vdw_vol","vsa_acc","vsa_don","vsa_hyd","Weight","SMI (Canonical)"
"Row1108_Row402583_Row1608_Row1108","CHEMBL3976063","IC50",10.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",7,0,20,0,63,2,9,39,26,0,2,28,0,0,24,0,8,1,0,0,6,0.13636364,21,68,1,44,8,0.18181819,44,2,0,0,0,5.2594004,5.2667046,-8.4664688,15.424644,5.9583192,9,1,0,2,0,0,6,117.63,536.57367,722.46796,58.472939,0.0,382.55188,648.36298,"N#CCC1(n2cc(-c3c(C#N)cnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3cc(Br)cc(Br)c3)CC2)C1"
"Row1130_Row402831_Row1630_Row1130","CHEMBL3900462","IC50",10.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",8,0,20,0,61,2,10,36,22,0,2,25,0,0,25,0,9,0,0,0,6,0.14634146,21,66,0,41,7,0.17073171,44,1,0,0,0,2.1448474,3.5870566,-7.1496801,14.393161,5.9984827,9,1,1,1,0,0,6,102.55,504.33871,677.70789,38.528683,0.0,364.52142,611.34601,"N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(Cc3cc(Br)nc(Br)c3)CC2)C1"
"Row1131_Row402832_Row1631_Row1131","CHEMBL3897688","IC50",10.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",8,0,20,0,61,2,10,35,22,0,1,25,0,0,26,0,9,0,0,0,6,0.15000001,21,66,0,40,7,0.175,44,1,0,0,0,1.1614268,2.6278949,-6.2174139,13.776165,4.977273,9,1,1,1,0,0,6,102.55,474.98193,648.72034,38.528683,0.0,341.19611,532.45001,"N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(Cc3ccnc(Br)c3)CC2)C1"
"Row1256_Row402574_Row1756_Row1256","CHEMBL3978536","IC50",10.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",7,0,20,0,63,2,9,39,26,0,2,28,0,0,24,0,8,1,0,0,6,0.13636364,21,68,1,44,8,0.18181819,44,2,0,0,0,5.293107,5.3003721,-8.4914179,15.425752,5.9583192,9,1,0,2,0,0,6,117.63,536.57367,722.46796,58.472939,0.0,382.55188,648.36298,"N#CCC1(n2cc(-c3c(C#N)cnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3cc(Br)ccc3Br)CC2)C1"
"Row3485_Row402760_Row3985_Row3485","CHEMBL3984476","IC50",10.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",7,0,20,0,61,2,9,36,23,0,1,26,0,0,25,0,8,1,0,0,6,0.14634146,21,66,1,41,7,0.17073171,43,1,0,0,0,3.3918648,3.4261208,-6.7262864,14.069124,4.796474,9,1,1,1,0,0,6,106.73,481.63098,658.97473,46.413025,0.0,334.46628,545.44501,"N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3cccc(Br)c3)CC2)C1"
"Row4297_Row240019_Row4797_Row4297","CHEMBL3965587","IC50",10.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",7,0,19,0,60,3,10,36,22,0,1,24,0,0,24,0,9,1,0,1,6,0.14634146,20,65,1,41,8,0.19512194,43,1,0,0,0,2.6172962,2.6516011,-6.5272279,14.249378,5.3549242,10,2,1,1,0,0,6,118.76,490.04108,654.68811,46.413025,5.6825762,331.05304,566.48798,"N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)Nc3cscc3Br)CC2)C1"
"Row4508_Row402654_Row5008_Row4508","CHEMBL3966319","IC50",10.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",7,0,19,0,58,2,9,35,22,0,1,24,0,0,23,0,8,1,0,1,6,0.15000001,20,63,1,40,7,0.175,41,1,0,0,0,3.4225373,3.4572451,-6.9259043,13.891685,5.1226163,9,1,1,1,0,0,6,106.73,472.30316,638.401,46.413025,0.0,326.56204,551.47302,"N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccsc3Br)CC2)C1"
"Row4515_Row308_Row5015_Row4515","CHEMBL3942396","IC50",0.55,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",5,0,9,0,44,2,7,23,14,0,0,17,0,0,21,0,5,1,0,0,4,0.15384616,10,47,0,26,5,0.1923077,36,1,2,2,0,0.26368836,0.30325419,-2.6705637,8.840826,3.1021144,6,1,1,0,0,0,4,57.279999,317.59741,431.65906,8.1863317,0.0,233.56505,311.38901,"C#CCN(C1CCOC1)C1CCN(c2ncnc3[nH]ccc23)C1"
"Row4813_Row404464_Row5313_Row4813","CHEMBL604695","Ki",1000.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",2,0,21,0,41,3,5,24,20,0,0,21,0,0,17,0,3,0,0,0,2,0.071428575,22,45,0,28,2,0.071428575,23,0,1,1,0,3.9399219,3.9620051,-5.2428989,9.6655312,2.0267429,3,2,1,1,0,0,5,40.709999,283.99612,446.3392,0.0,5.6825762,238.93425,311.388,"c1ccc(CC2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1"
"Row5154_Row413034_Row5654_Row5154","CHEMBL2181083","IC50",48.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",6,0,18,0,67,1,7,35,27,0,0,28,0,0,32,0,4,3,0,0,4,0.1025641,18,71,1,39,4,0.1025641,52,0,0,0,0,1.9982969,3.7532027,-5.9127674,13.656043,6.379581,7,1,1,1,0,0,5,68.739998,475.05511,666.297,18.876421,5.6825762,409.67557,472.58899,"C1=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(OCCN3CCCC3)c2)COC1"
"Row5196_Row412693_Row5696_Row5196","CHEMBL2181330","IC50",23.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",6,0,18,0,67,1,7,35,27,0,0,28,0,0,32,0,4,3,0,0,4,0.1025641,18,71,1,39,4,0.1025641,52,0,0,0,0,1.945912,3.7156751,-5.8967557,13.654664,6.379581,7,1,1,1,0,0,5,68.739998,475.05511,666.297,18.876421,5.6825762,409.67557,472.58899,"C1=CCOCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC1"
"Row5263_Row412691_Row5763_Row5263","CHEMBL2181331","IC50",15.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",6,0,18,0,70,1,7,36,28,0,0,29,0,0,34,0,4,3,0,0,4,0.1,18,74,1,40,4,0.1,55,0,0,0,0,2.0929461,3.9689023,-6.1245232,14.10905,6.8629904,7,1,1,1,0,0,5,68.739998,492.2872,690.7262,18.876421,5.6825762,425.48407,486.616,"C1=CCOCc2cc(ccc2OCCN2CCCCC2)Nc2nccc(n2)-c2cccc(c2)COC1"
"Row5395_Row413035_Row5895_Row5395","CHEMBL2181084","IC50",96.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",7,0,18,0,68,1,8,36,27,0,0,28,0,0,32,0,4,4,0,0,4,0.1,18,72,1,40,4,0.1,53,0,0,0,0,2.9573765,3.2483406,-5.5941644,13.836139,6.8629904,8,1,1,0,0,0,5,77.970001,490.05884,676.95837,21.380177,5.6825762,422.17554,488.58798,"C1=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(OCCN3CCOCC3)c2)COC1"
"Row6588_Row403851_Row7088_Row6588","CHEMBL2392501","Ki",40.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",5,0,18,0,45,2,7,25,18,0,0,19,0,0,20,0,6,0,0,0,3,0.10344828,20,49,0,29,3,0.10344828,29,0,1,1,0,1.5914408,2.1625652,-4.4473777,9.8322573,2.629096,6,1,1,0,1,0,5,62.630001,314.2149,457.88605,22.580544,0.0,252.48122,332.41098,"c1ccc(CN2CCCC(n3nnc4cnc5[nH]ccc5c43)C2)cc1"
"Row8408_Row403833_Row8908_Row8408","CHEMBL2152306","Ki",250.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",4,0,12,0,33,3,7,18,11,0,0,13,0,0,15,0,5,0,0,0,1,0.047619049,14,36,0,21,1,0.047619049,22,0,0,0,0,-1.2454958,0.80192184,-2.6421299,7.0394635,1.6577815,5,2,1,0,1,0,4,58.529999,225.04208,327.56689,5.6825762,0.0,150.93069,241.29799,"c1cc2c(ncc3ncn(C4CCNCC4)c32)[nH]1"
